Candidate_ID,Name,Age,Total_Experience,Relevant_Experience,Skill_Type,Distance_Between_Birthplace_and_Home,Last_Drawn_Compensation,Actual_Compensation,Predicted_Compensation,Gender
1,Person_1,34,5.1,0.4,Creative,782.1,31866.06,31263.46,30293.47,Male
2,Person_2,26,33.8,29.9,Technical,240.1,37187.65,63025.39,63068.74,Female
3,Person_3,50,36.5,34.7,Analytical,144.3,67652.65,104726.77,106659.38,Male
4,Person_4,37,5.8,3.7,Analytical,115.7,93788.04,84270.46,82508.97,Male
5,Person_5,30,10.2,7.5,Technical,27.3,33900.22,44076.06,44659.29,Male
6,Person_6,45,7.5,3.3,Technical,523.6,64007.11,68684,71755.62,Female
7,Person_7,65,8.3,8,Management,218.3,68285.13,82598.84,79612.98,Male
8,Person_8,46,33.7,31.6,Analytical,989.4,41228.56,77212.51,70245.96,Male
9,Person_9,30,14,13.6,Creative,574.4,31555.84,41737.35,43749.78,Male
10,Person_10,63,13.1,10.5,Analytical,137.9,103642.09,117963.58,125472.47,Female
11,Person_11,52,9.9,5.4,Analytical,688.8,70246.56,74806.22,74784.16,Male
12,Person_12,23,24.7,20.8,Management,897.7,21438.12,32566.59,33172.38,Male
13,Person_13,35,15.8,14.7,Analytical,745.2,100298.13,115792.29,114904.86,Male
14,Person_14,22,30,25.1,Analytical,76.4,118079.38,140058.11,144822.3,Male
15,Person_15,64,9,5.7,Technical,895.9,80592.62,86293.73,86060.46,Female
16,Person_16,42,31.7,31.6,Management,793.9,70370.84,110228.09,109668.4,Male
17,Person_17,19,24.5,23.2,Analytical,158.3,107841.59,132165.52,134898.12,Female
18,Person_18,27,5.5,4.2,Technical,51.8,115251.68,114365.01,112912.19,Female
19,Person_19,47,17.2,16.9,Analytical,557.3,95453.69,117175.77,113321.68,Female
20,Person_20,62,34.7,29.9,Technical,156,64545.29,96258,98904.9,Male
21,Person_21,22,37,34.6,Management,834.6,79222.14,108146.33,106371.69,Female
22,Person_22,50,19.2,14.7,Analytical,358.3,90093.54,96762.35,93835.97,Male
23,Person_23,18,19.8,18.2,Technical,912.9,39427.36,52740.67,59040.82,Female
24,Person_24,35,36.8,36.2,Technical,565.7,64720.1,105101.61,104565.82,Female
25,Person_25,49,23.9,21.5,Management,182.7,102982.13,122974.12,124456.8,Female
26,Person_26,64,2.3,1.7,Analytical,139.6,85472.53,87578.24,87666.83,Female
27,Person_27,28,36.6,34.2,Technical,576.5,61120.41,88627.76,85968.8,Female
28,Person_28,38,10.7,6.1,Creative,761.9,86336.25,96752.34,98820.65,Female
29,Person_29,43,23.5,20.9,Technical,781.5,31822.24,42646.32,43590.06,Female
30,Person_30,42,7.5,4.4,Creative,275.8,60149.76,61272.87,59294.73,Female
31,Person_31,39,2.3,1.5,Creative,204.2,99312.85,102905.17,104204.74,Male
32,Person_32,44,13.1,12.9,Management,16.8,42050.88,49337.72,47794.79,Male
33,Person_33,30,31.4,30.8,Management,679.2,38596.15,72466.8,69153.31,Female
34,Person_34,50,11.8,8.8,Management,76.6,115081.87,119535.9,115918.9,Female
35,Person_35,51,9.6,9.1,Management,420.8,40989.76,43959.41,44769.58,Female
36,Person_36,58,9.3,7.4,Technical,601.7,46091.86,59924.27,58776.08,Male
37,Person_37,52,21.1,18.3,Technical,937.1,116961.59,136031.24,140536.35,Female
38,Person_38,18,39,37.1,Technical,311.8,93470.86,133166.04,133037.17,Male
39,Person_39,38,18.9,18.1,Management,249.8,89959.65,113150.7,110795.09,Male
40,Person_40,65,22.7,21.3,Technical,654.2,105292.64,113496.15,113969.6,Male
41,Person_41,23,34.6,30,Management,619.2,31582.31,64756.22,60873.42,Male
42,Person_42,45,21.9,18.5,Creative,332.1,90595.62,105290.49,105038.1,Male
43,Person_43,34,8.2,5.7,Technical,928.1,70368.86,72922.5,73880,Female
44,Person_44,22,12.7,12.6,Management,844.9,102915.06,117702.27,118289.28,Female
45,Person_45,48,13.1,8.1,Management,224,70814.17,77098.97,81007.37,Female
46,Person_46,22,16.5,13.1,Analytical,239.1,82024.14,98096.75,105889.3,Female
47,Person_47,55,17.6,16,Creative,512.3,67774.21,83570,85584.19,Female
48,Person_48,20,32.2,27.8,Analytical,773.6,67815.89,96456.94,99993.32,Male
49,Person_49,40,14.6,13.3,Creative,44,96797,107645.89,115276.28,Female
50,Person_50,54,19.3,16.6,Technical,693.3,82856.64,94131.97,91113.3,Female
51,Person_51,54,25.4,22.2,Analytical,648.2,83326.32,101824.73,102216.61,Male
52,Person_52,27,15.7,14.6,Analytical,231.5,65028.25,79114.13,77680.14,Female
53,Person_53,27,33.6,28.7,Technical,681.4,73110.95,110997.14,113525.12,Male
54,Person_54,36,23.9,20.2,Creative,940.2,94571.77,122131.3,122946.16,Female
55,Person_55,34,12.5,9.7,Technical,46.8,102594.09,109027.61,106572.31,Male
56,Person_56,38,28.8,27.9,Management,319.7,89656.14,117857.43,117890.27,Female
57,Person_57,31,21.6,21.3,Technical,438.2,112407.3,132268.69,135409.45,Female
58,Person_58,26,21.8,20.2,Management,899.3,102032.41,122883.74,118972.57,Male
59,Person_59,63,19.8,16,Analytical,962.3,76186.38,93480.94,91088.91,Male
60,Person_60,18,20.4,19.1,Management,444.1,87140.61,108878.19,106036.36,Male
61,Person_61,62,30.8,28.1,Management,750,112630.83,126225.14,127204.33,Male
62,Person_62,30,5,1.4,Technical,531.7,81916.8,85149.29,88870.84,Male
63,Person_63,21,14,13.5,Analytical,537.8,102480.69,113986.08,107956.88,Male
64,Person_64,18,3.9,0.5,Technical,278.1,88881.05,85856.36,86139.56,Male
65,Person_65,57,30.4,29.9,Management,217,75193.64,109064.92,106292.26,Male
66,Person_66,49,11.6,6.8,Creative,288,44183.82,58317.94,61334.15,Female
67,Person_67,51,36,33.6,Analytical,556.3,62599.75,99644.77,98933.86,Female
68,Person_68,45,21.5,20.7,Management,29.2,116774.28,134881.52,135273.54,Male
69,Person_69,48,32.2,30.5,Analytical,907.2,85776.54,110896.51,110892.5,Female
70,Person_70,25,39.2,37.1,Analytical,156.3,76439.54,98508.32,101880.97,Female
71,Person_71,56,33.8,30,Analytical,220.1,113295.66,144208.24,150354.13,Female
